Submercados,Data,ENA Mwmed,ENA Bruta,ENA Armaz,Valor EAR no dia ,Valor EAR no dia %,Desvio EAR,Variação %,Variação,Carga Programada,Carga Verificada
Norte,2020-07-19,4392.2,1.0759999999999998,0.965,12541.7,"82,7",-13.199999999998909,-0.0009999999999999432,-0.09999999999999432,5112,5117
Nordeste,2020-07-19,2525.6,0.74,0.735,43513.6,"84,3",-79.80000000000291,-0.0020000000000000282,-0.20000000000000284,8718,8676
Sul,2020-07-19,12938,1.5630000000000002,1.3230000000000002,12500.2,"62,8",212.10000000000036,0.01,1,8363,8050
Sudeste,2020-07-19,18391.8,0.868,0.857,102433.2,"50,5",-221.8000000000029,-0.0010000000000000141,-0.10000000000000142,29146,29115
Norte,2020-07-20,4477.6,1.065,0.956,12522.9,"82,6",-18.80000000000109,-0.0010000000000000852,-0.10000000000000853,5440,5469
Nordeste,2020-07-20,2622.9,0.737,0.733,43373.8,"84,1",-139.79999999999563,-0.0020000000000000282,-0.20000000000000284,9510,9531
Sul,2020-07-20,10941.5,1.535,1.3030000000000002,12536.9,"63,0",36.69999999999891,0.0020000000000000282,0.20000000000000284,11102,10606
Sudeste,2020-07-20,18383.2,0.86,0.8490000000000001,102025.3,"50,3",-407.8999999999942,-0.0020000000000000282,-0.20000000000000284,34101,33750
Norte,2020-07-21,4437.1,1.054,0.9470000000000001,12502.4,"82,4",-20.5,-0.0019999999999998864,-0.19999999999998863,5461,5416
Nordeste,2020-07-21,2598.4,0.7340000000000001,0.73,43340.2,"84,0",-33.60000000000582,-0.0009999999999999432,-0.09999999999999432,9789,9642
Sul,2020-07-21,9413,1.5030000000000001,1.2790000000000001,12456.5,"62,6",-80.39999999999964,-0.003999999999999986,-0.3999999999999986,11356,11081
Sudeste,2020-07-21,18384,0.853,0.8420000000000001,101643.2,"50,1",-382.1000000000058,-0.0019999999999999575,-0.19999999999999574,35057,35044
Norte,2020-07-22,4319.1,1.043,0.938,12480.1,"82,3",-22.299999999999272,-0.0010000000000000852,-0.10000000000000853,5433,5404
Nordeste,2020-07-22,2595,0.732,0.727,43330.7,"84,0",-9.5,0,0,9759,9619
Sul,2020-07-22,8237.9,1.4680000000000002,1.253,12360.5,"62,1",-96,-0.005,-0.5,11330,11195
Sudeste,2020-07-22,18566.4,0.847,0.836,101351.7,"50,0",-291.5,-0.0010000000000000141,-0.10000000000000142,35416,35281
