data_arquivo,data_dado,posto,ena
2020-09-11,2020-09-07,9.0,97.75271884689072
2020-09-11,2020-09-08,9.0,96.0931714129433
2020-09-11,2020-09-09,9.0,94.03848929688165
2020-09-11,2020-09-10,9.0,91.65075575785153
2020-09-11,2020-08-12,10.0,46.28471591392831
2020-09-11,2020-08-13,10.0,45.867975071726725
2020-09-11,2020-08-14,10.0,45.460778227326905
2020-09-11,2020-08-15,10.0,45.1012623020555
2020-09-11,2020-08-16,10.0,44.88419890998309
2020-09-11,2020-08-17,10.0,44.65661774251061
2020-09-11,2020-08-18,10.0,44.38619861763586
2020-09-11,2020-08-19,10.0,44.137727509393436
2020-09-11,2020-08-20,10.0,43.99257997031763
2020-09-11,2020-08-21,10.0,44.22076480556132
2020-09-11,2020-08-22,10.0,44.903094309957524
2020-09-11,2020-08-23,10.0,46.25630116582722
2020-09-11,2020-08-24,10.0,47.63503917494237
2020-09-11,2020-08-25,10.0,48.72037717871706
2020-09-11,2020-08-26,10.0,49.69534002746442
2020-09-11,2020-08-27,10.0,50.28870930828915
2020-09-11,2020-08-28,10.0,50.18475492559676
2020-09-11,2020-08-29,10.0,49.28364376749079
2020-09-11,2020-08-30,10.0,47.91388467152819
2020-09-11,2020-08-31,10.0,46.270841950457175
2020-09-11,2020-09-01,10.0,44.83217470574426
2020-09-11,2020-09-02,10.0,43.84055005136134
2020-09-11,2020-09-03,10.0,43.11977430538271
2020-09-11,2020-09-04,10.0,42.454984826030795
2020-09-11,2020-09-05,10.0,41.641160221619096
2020-09-11,2020-09-06,10.0,40.77653009383414
2020-09-11,2020-09-07,10.0,40.06676900028225
2020-09-11,2020-09-08,10.0,39.36839402336032
2020-09-11,2020-09-09,10.0,38.56298167469973
2020-09-11,2020-09-10,10.0,37.63835421528868
2020-09-11,2020-08-12,11.0,80.54059648368464
2020-09-11,2020-08-13,11.0,79.7746302892361
2020-09-11,2020-08-14,11.0,79.0894749968339
2020-09-11,2020-08-15,11.0,78.45183401395155
2020-09-11,2020-08-16,11.0,77.96572464576042
2020-09-11,2020-08-17,11.0,77.42299787553588
2020-09-11,2020-08-18,11.0,76.92610281891041
2020-09-11,2020-08-19,11.0,76.47637247908894
2020-09-11,2020-08-20,11.0,76.14022376597994
2020-09-11,2020-08-21,11.0,76.29508506707832
2020-09-11,2020-08-22,11.0,76.99613411265686
2020-09-11,2020-08-23,11.0,78.94388219254604
2020-09-11,2020-08-24,11.0,81.03449374948302
2020-09-11,2020-08-25,11.0,82.82182724263102
2020-09-11,2020-08-26,11.0,84.59030728296203
2020-09-11,2020-08-27,11.0,85.6876253705981
2020-09-11,2020-08-28,11.0,85.97890461838197
2020-09-11,2020-08-29,11.0,85.10077881382196
2020-09-11,2020-08-30,11.0,83.19239485837382
2020-09-11,2020-08-31,11.0,80.53544667387003
2020-09-11,2020-09-01,11.0,77.96692517335134
2020-09-11,2020-09-02,11.0,75.98922468835043
2020-09-11,2020-09-03,11.0,74.60640080447055
2020-09-11,2020-09-04,11.0,73.51181918372261
2020-09-11,2020-09-05,11.0,72.31888626365769
2020-09-11,2020-09-06,11.0,70.94064527240124
2020-09-11,2020-09-07,11.0,69.63134051845275
2020-09-11,2020-09-08,11.0,68.27513795630729
2020-09-11,2020-09-09,11.0,66.84889479282599
2020-09-11,2020-09-10,11.0,65.3199455932467
2020-09-11,2020-08-12,12.0,75.24519273796673
2020-09-11,2020-08-13,12.0,74.5055448406424
2020-09-11,2020-08-14,12.0,73.86038709626784
2020-09-11,2020-08-15,12.0,73.24481722021746
2020-09-11,2020-08-16,12.0,72.71305084732234
2020-09-11,2020-08-17,12.0,72.11775945038163
2020-09-11,2020-08-18,12.0,71.5287687734253
2020-09-11,2020-08-19,12.0,71.03724140680079
2020-09-11,2020-08-20,12.0,70.68783865652762
2020-09-11,2020-08-21,12.0,70.72726487397217
2020-09-11,2020-08-22,12.0,71.09866823008933
2020-09-11,2020-08-23,12.0,72.40084247282873
2020-09-11,2020-08-24,12.0,73.98638145699519
2020-09-11,2020-08-25,12.0,75.43983608170309
2020-09-11,2020-08-26,12.0,76.9058757704059
2020-09-11,2020-08-27,12.0,77.88551224256476
2020-09-11,2020-08-28,12.0,78.25088366428787
2020-09-11,2020-08-29,12.0,77.79663955089711
2020-09-11,2020-08-30,12.0,76.40079273551831
2020-09-11,2020-08-31,12.0,74.2250776016933
2020-09-11,2020-09-01,12.0,71.96095349549489
2020-09-11,2020-09-02,12.0,70.05203992200096
2020-09-11,2020-09-03,12.0,68.63576516926031
2020-09-11,2020-09-04,12.0,67.62737235783322
2020-09-11,2020-09-05,12.0,66.6912726357035
2020-09-11,2020-09-06,12.0,65.57779337340489
2020-09-11,2020-09-07,12.0,64.3503581474711
2020-09-11,2020-09-08,12.0,63.000258357933376
2020-09-11,2020-09-09,12.0,61.51655099502856
2020-09-11,2020-09-10,12.0,60.02993441045566
2020-09-11,2020-08-12,14.0,15.268768302162945
2020-09-11,2020-08-13,14.0,14.978201180207376
2020-09-11,2020-08-14,14.0,15.240333021214745
2020-09-11,2020-08-15,14.0,14.851763418785193
2020-09-11,2020-08-16,14.0,14.973302229511061
2020-09-11,2020-08-17,14.0,14.541568999466708
2020-09-11,2020-08-18,14.0,14.66931532971851
2020-09-11,2020-08-19,14.0,14.741482993303752
2020-09-11,2020-08-20,14.0,13.874200131437032
2020-09-11,2020-08-21,14.0,14.159402676977756
2020-09-11,2020-08-22,14.0,14.044747592888939
2020-09-11,2020-08-23,14.0,14.804534520474071
2020-09-11,2020-08-24,14.0,14.42479204539256
2020-09-11,2020-08-25,14.0,13.930637797274008
2020-09-11,2020-08-26,14.0,13.991164817896285
2020-09-11,2020-08-27,14.0,12.977004213629632
2020-09-11,2020-08-28,14.0,13.53123035484451
2020-09-11,2020-08-29,14.0,13.203145162725955
2020-09-11,2020-08-30,14.0,13.420461454637127
2020-09-11,2020-08-31,14.0,12.95677234388148
2020-09-11,2020-09-01,14.0,13.16586916853332
2020-09-11,2020-09-02,14.0,13.035168523377711
2020-09-11,2020-09-03,14.0,12.959107882962899
2020-09-11,2020-09-04,14.0,12.608074876918526
2020-09-11,2020-09-05,14.0,12.700899278281502
2020-09-11,2020-09-06,14.0,12.828293610311151
2020-09-11,2020-09-07,14.0,12.369462692562912
2020-09-11,2020-09-08,14.0,12.455111270518474
2020-09-11,2020-09-09,14.0,12.213113110281439
2020-09-11,2020-09-10,14.0,12.654378699200025
2020-09-11,2020-08-12,15.0,22.715184330415354
2020-09-11,2020-08-13,15.0,22.624626132165947
2020-09-11,2020-08-14,15.0,22.76386662654861
2020-09-11,2020-08-15,15.0,22.479874267203865
2020-09-11,2020-08-16,15.0,22.42760530351397
2020-09-11,2020-08-17,15.0,22.033959294162432
2020-09-11,2020-08-18,15.0,21.968289165326613
2020-09-11,2020-08-19,15.0,22.102233477425415
2020-09-11,2020-08-20,15.0,21.23230890151866
2020-09-11,2020-08-21,15.0,21.13015037641059
2020-09-11,2020-08-22,15.0,21.142014742737814
2020-09-11,2020-08-23,15.0,21.880445127200698
2020-09-11,2020-08-24,15.0,21.834682046127185
2020-09-11,2020-08-25,15.0,21.145328266288246
2020-09-11,2020-08-26,15.0,20.98093161079261
2020-09-11,2020-08-27,15.0,19.952699592990808
2020-09-11,2020-08-28,15.0,20.063088810991484
2020-09-11,2020-08-29,15.0,19.97651282903161
2020-09-11,2020-08-30,15.0,20.051817939311334
2020-09-11,2020-08-31,15.0,19.668974855676094
2020-09-11,2020-09-01,15.0,19.67331130834394
2020-09-11,2020-09-02,15.0,19.633440397667894
2020-09-11,2020-09-03,15.0,19.49408249059132
2020-09-11,2020-09-04,15.0,19.093531297172266
2020-09-11,2020-09-05,15.0,19.028636373082804
2020-09-11,2020-09-06,15.0,19.204018343629738
2020-09-11,2020-09-07,15.0,18.784849263596946
2020-09-11,2020-09-08,15.0,18.662869710222214
2020-09-11,2020-09-09,15.0,18.45028502922105
2020-09-11,2020-09-10,15.0,18.79841814010007
2020-09-11,2020-08-12,16.0,7.003314452645035
2020-09-11,2020-08-13,16.0,6.986502482060343
2020-09-11,2020-08-14,16.0,7.0207440133825525
2020-09-11,2020-08-15,16.0,6.949177624454928
2020-09-11,2020-08-16,16.0,6.924236860612136
2020-09-11,2020-08-17,16.0,6.81571460643787
2020-09-11,2020-08-18,16.0,6.7829789458384635
2020-09-11,2020-08-19,16.0,6.816733148751434
2020-09-11,2020-08-20,16.0,6.586390081274932
2020-09-11,2020-08-21,16.0,6.525675498673411
2020-09-11,2020-08-22,16.0,6.525003304608301
2020-09-11,2020-08-23,16.0,6.7253014040500805
2020-09-11,2020-08-24,16.0,6.740984603901117
2020-09-11,2020-08-25,16.0,6.5526799641524995
2020-09-11,2020-08-26,16.0,6.481985056740791
2020-09-11,2020-08-27,16.0,6.197457808484793
2020-09-11,2020-08-28,16.0,6.1882492537917635
2020-09-11,2020-08-29,16.0,6.169014521885281
2020-09-11,2020-08-30,16.0,6.186104093596464
2020-09-11,2020-08-31,16.0,6.0853547263077505
2020-09-11,2020-09-01,16.0,6.071976117220707
2020-09-11,2020-09-02,16.0,6.0613503769532135
2020-09-11,2020-09-03,16.0,6.0221193392502474
2020-09-11,2020-09-04,16.0,5.908417951098883
2020-09-11,2020-09-05,16.0,5.875629617772662
2020-09-11,2020-09-06,16.0,5.92062788080308
2020-09-11,2020-09-07,16.0,5.813851341522515
2020-09-11,2020-09-08,16.0,5.764906070684097
2020-09-11,2020-09-09,16.0,5.702736080184772
2020-09-11,2020-09-10,16.0,5.788873496779712
2020-09-11,2020-08-12,17.0,287.4968582417075
2020-09-11,2020-08-13,17.0,283.76395506593553
2020-09-11,2020-08-14,17.0,279.5516755530793
2020-09-11,2020-08-15,17.0,276.1482279116204
2020-09-11,2020-08-16,17.0,274.1237470768982
2020-09-11,2020-08-17,17.0,273.4681438017713
2020-09-11,2020-08-18,17.0,272.6645824045869
2020-09-11,2020-08-19,17.0,270.9898794672189
2020-09-11,2020-08-20,17.0,269.3349417845135
2020-09-11,2020-08-21,17.0,267.97016871792005
2020-09-11,2020-08-22,17.0,267.02695507796915
2020-09-11,2020-08-23,17.0,267.253324319003
2020-09-11,2020-08-24,17.0,270.8206888252792
2020-09-11,2020-08-25,17.0,276.54347785126146
2020-09-11,2020-08-26,17.0,281.877372003407
2020-09-11,2020-08-27,17.0,286.66517751239445
2020-09-11,2020-08-28,17.0,289.9073969942919
2020-09-11,2020-08-29,17.0,289.52101815266263
2020-09-11,2020-08-30,17.0,285.8755073201484
2020-09-11,2020-08-31,17.0,279.94757024681587
2020-09-11,2020-09-01,17.0,273.55195478335474
2020-09-11,2020-09-02,17.0,267.401650041068
2020-09-11,2020-09-03,17.0,261.24724365664525
2020-09-11,2020-09-04,17.0,255.10212100876373
2020-09-11,2020-09-05,17.0,250.70675447111398
2020-09-11,2020-09-06,17.0,247.74389700262498
2020-09-11,2020-09-07,17.0,245.72223237896046
2020-09-11,2020-09-08,17.0,243.37127823960085
2020-09-11,2020-09-09,17.0,239.84108182725802
2020-09-11,2020-09-10,17.0,234.82655173645318
2020-09-11,2020-08-12,18.0,319.7870262011358
2020-09-11,2020-08-13,18.0,317.04478523028644
2020-09-11,2020-08-14,18.0,313.7173688914149
2020-09-11,2020-08-15,18.0,310.1201218881339
2020-09-11,2020-08-16,18.0,305.9829183887747
2020-09-11,2020-08-17,18.0,303.2086058575661
2020-09-11,2020-08-18,18.0,301.87986256860637
2020-09-11,2020-08-19,18.0,301.40948809509973
2020-09-11,2020-08-20,18.0,299.76932990684946
2020-09-11,2020-08-21,18.0,298.874512197562
2020-09-11,2020-08-22,18.0,298.64968125962434
2020-09-11,2020-08-23,18.0,299.0386111914281
2020-09-11,2020-08-24,18.0,300.17981933110383
2020-09-11,2020-08-25,18.0,303.23919528005894
2020-09-11,2020-08-26,18.0,306.15590303609366
2020-09-11,2020-08-27,18.0,309.66822062103364
2020-09-11,2020-08-28,18.0,313.6728662882939
2020-09-11,2020-08-29,18.0,316.76771300142406
2020-09-11,2020-08-30,18.0,315.7161926033643
2020-09-11,2020-08-31,18.0,311.9781731911908
2020-09-11,2020-09-01,18.0,306.96530115239653
2020-09-11,2020-09-02,18.0,300.9506196477716
2020-09-11,2020-09-03,18.0,295.0507927917505
2020-09-11,2020-09-04,18.0,289.28986039354373
2020-09-11,2020-09-05,18.0,283.0928412632428
2020-09-11,2020-09-06,18.0,278.7985785929839
2020-09-11,2020-09-07,18.0,275.25367005698797
2020-09-11,2020-09-08,18.0,272.9286825390251
2020-09-11,2020-09-09,18.0,270.422435346282
2020-09-11,2020-09-10,18.0,266.6467588238213
2020-09-11,2020-08-12,22.0,13.86362722966915
2020-09-11,2020-08-13,22.0,13.939132116755376
2020-09-11,2020-08-14,22.0,13.618521991222167
2020-09-11,2020-08-15,22.0,13.475660746502195
2020-09-11,2020-08-16,22.0,13.548861739936994
2020-09-11,2020-08-17,22.0,13.616445052827265
2020-09-11,2020-08-18,22.0,13.287919117145664
2020-09-11,2020-08-19,22.0,13.14036753610034
2020-09-11,2020-08-20,22.0,13.22361532413175
2020-09-11,2020-08-21,22.0,12.913342758460654
2020-09-11,2020-08-22,22.0,12.733889621938744
2020-09-11,2020-08-23,22.0,12.803281335741653
