posto,2019-09-25 00:00:00,2019-09-26 00:00:00,2019-09-27 00:00:00,2019-09-28 00:00:00,2019-09-29 00:00:00,2019-09-30 00:00:00,2019-10-01 00:00:00,2019-10-02 00:00:00,2019-10-03 00:00:00,2019-10-04 00:00:00,2019-10-05 00:00:00,2019-10-06 00:00:00,2019-10-07 00:00:00,2019-10-08 00:00:00,2019-10-09 00:00:00,2019-10-10 00:00:00,2019-10-11 00:00:00,2019-10-12 00:00:00,2019-10-13 00:00:00,2019-10-14 00:00:00,2019-10-15 00:00:00,2019-10-16 00:00:00,2019-10-17 00:00:00,2019-10-18 00:00:00,2019-10-19 00:00:00,2019-10-20 00:00:00,2019-10-21 00:00:00,2019-10-22 00:00:00,2019-10-23 00:00:00,2019-10-24 00:00:00,prod,nome,ree,sub_mer,bacia,tipo
63,622.9436170288097,633.3936830243936,629.6556456763356,615.6859255110709,594.6244073598007,571.939297931587,555.4979862619833,543.8195263140346,529.5954956267014,511.6685744546417,491.43602562937485,477.65719141346136,475.53607221816293,484.17704196496766,494.73673418019837,486.9967364667053,485.7993065902093,487.6532477768999,489.49098514223175,489.23964315356545,479.78437227263123,471.52660955754766,474.3714024232517,480.8707600142277,489.1700466649652,501.005807588926,516.9387657733274,538.669797682061,564.7586212456192,568.7020283378009,0.1863,ROSANA,12.0,SE,PARANAPANEMA (SE),0.0
34,1382.3481812930902,1392.3396808783805,1431.6382884514724,1544.3808196900986,1690.634200887869,1844.05208632145,1922.7987161107947,1923.5199078324215,1907.4250856835044,1853.4067070398391,1778.4026603517111,1714.1212184583098,1635.3529606117575,1594.9304513664601,1593.4026868803016,1615.854903344481,1648.817901365564,1691.42504899538,1728.637491883072,1757.8338063644362,1744.0409757142465,1738.800668896372,1728.4340382351857,1696.7590724377442,1643.537382918361,1574.7204820859283,1518.1773066002384,1491.937661174066,1521.8106233537446,1600.2174393377902,0.3901,ILHA SOLTEIRA,10.0,SE,PARANÁ,0.0
245,1877.5467980541234,1899.9881886771764,1941.9012335340135,2059.155923042362,2202.572171059088,2368.958840666973,2472.026251508507,2497.426817510272,2485.7757369245505,2444.9847005115707,2378.5952606878996,2321.298999203741,2246.89583828434,2204.3212876099365,2203.6933645444296,2235.590221915825,2279.7327054385596,2334.1381650965945,2392.8478274074923,2447.529670731474,2452.3137697179623,2438.117570087532,2410.920159253913,2368.0811681831974,2304.9203962938923,2224.842503306661,2159.592877705453,2124.622583151474,2145.03685903434,2223.895278130392,,,,,,
154,90.57917283950616,91.5640802469136,92.98054320987654,94.12533333333339,93.27005555555559,91.14064814814812,89.32726543209874,90.36496296296292,93.93694444444445,97.97772839506173,99.97993209876542,99.34952469135806,97.47881481481481,96.41322222222225,96.56236419753084,97.2954012345679,96.45392592592596,94.98899382716048,93.26040123456791,92.65140740740738,92.76100617283953,93.49406172839507,94.03212962962965,94.66466666666666,95.88848148148149,97.95753703703703,100.02725925925928,101.52511728395062,102.68259259259263,103.14189814814813,0.3055,ITAPEBI,1.0,SE,SÃO FRANCISCO (SE),0.0
246,2536.130354630167,2545.3119740631582,2532.761554667881,2565.0904438359053,2568.0242784407783,2696.316891905565,2811.036463423345,2990.1512509469308,3069.2585215915815,3087.0232190015686,3076.706290061767,3053.46819968182,2984.8434482179955,2924.7131804579444,2841.8934009467675,2810.1439747726026,2804.5225227973997,2837.360052361796,2873.825293563192,2955.0690198144084,3001.616380244058,3093.2386968925566,3089.3426875310124,3110.038958961725,3056.1711491569113,3031.799516287254,2952.7392429870124,2889.801247905427,2799.9407062033933,2779.713283280072,,,,,,
266,4433.650381684333,4442.108585514846,4413.093245852715,4364.895943803085,4342.201780676821,4321.493789677973,4304.064825511812,4295.911772358796,4361.001200263693,4438.728104278421,4501.889238336505,4567.0603977924975,4617.916828320724,4652.203082623944,4588.614622056387,4536.5020642634345,4465.9340374462,4393.7442956163595,4345.83695415064,4336.21459586979,4296.014987348395,4355.617663388529,4347.833682340834,4402.6007205702845,4416.620481390009,4516.651651646835,4550.7452446576,4642.080598183022,4620.530030165102,4644.874483180851,,,,,,
74,610.059236404156,590.9935140732251,544.8447141986342,495.24949354901037,455.4019963739673,420.8433045439542,384.1987145853358,348.8474656467618,307.8591887742607,270.22145739292085,243.90564117881664,234.48887300013465,255.31440158697308,283.807202698824,264.61515392910997,263.53950927572095,272.105605891923,278.712859897333,272.9539540919525,262.3741843122907,252.2044932516072,260.1791973377135,294.34600041493707,343.5543971553412,385.84900673120904,398.9377695695009,372.47893045125886,360.9023176847144,362.93884472378244,337.4651619900444,1.1477,FOZ DO AREIA,11.0,S,IGUAÇU,0.0
71,28.643765432098757,26.208543209876538,24.27211111111112,23.067160493827135,22.060074074074084,20.75514814814811,20.350246913580307,19.514790123456738,19.145716049382727,18.07723456790127,18.44272839506175,18.737234567901258,19.099975308641927,18.029407407407458,17.230444444444476,16.559901234567914,16.153246913580247,15.447543209876512,14.714395061728403,14.613962962962958,14.405839506172777,13.933827160493763,14.364592592592539,16.594740740740793,20.70760493827162,25.471703703703728,28.509283950617277,28.84933333333342,25.750234567901202,23.57783333333328,0.8133,STA CLARA PR,11.0,S,IGUAÇU,0.0
73,35.63148703940346,32.85397334876562,30.69015564434174,28.871180786008054,27.559996476645946,26.30972197345683,26.216449201954745,26.693097026337462,27.057484377777623,27.126886242284264,27.577814885699766,27.671380264609045,27.376232233333116,25.70637179639906,24.42029132901245,23.38046393477375,22.441439597736803,20.813330307716,21.091151293518337,20.780839737859814,20.29562178115222,19.52333664556606,20.205774810257196,23.5471484583333,28.667764119650148,34.96503247047324,39.45080520192396,39.12692010576134,34.845873073971305,31.301824527124435,0.0,JORDÃO NAT.,11.0,S,IGUAÇU,0.0
77,643.3818167314465,669.2279138373866,652.1079537464146,607.9215169683822,556.7637981294389,513.4140966200883,476.5397773931793,446.2804925638276,419.75816851163694,390.78408831667815,359.879290555899,334.4908669408768,323.3618321928906,331.69335521732,340.1382281208454,332.7375669457416,325.2950906448459,324.82414728580477,327.949264417559,325.1681534283706,315.3209046150062,306.23809540901505,316.68705577316285,353.2015019632948,410.63648961270985,464.99590340698296,490.10308188877644,479.925296367055,455.00912164479394,434.52625643593433,0.9233,SLT SANTIAGO,11.0,S,IGUAÇU,0.0
