,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-02,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20
51,153.57542802353453,154.4962224505272,152.03778880415658,147.6474842495359,140.99684405672863,135.66026521015644,132.88183133451798,132.94293295526347,134.28541207591422,133.2663962763542,129.7412325356273,125.84027117815495,120.67907312743635,116.10164983911957,115.04332328097898,119.63200814714679,127.05316233752191,136.86969570252202,157.30480460487283,195.7573853213156,208.80582256897662,263.1687779159208,285.57549946068514,291.58531296795553,329.5058109726588,379.4904986058392,374.1884281654495,342.35508784363674,301.84599534268466,258.2394623000476
52,163.1174840123673,164.21347692298906,161.59055090585315,156.54051763802892,149.33292551154182,143.36611725597868,140.12758985985928,139.94777601901694,141.54112822921144,140.81410209336522,137.14668900791256,132.8967520438846,127.40625911192116,122.33449738700969,121.05557940002757,125.92478317148128,133.52858827235244,142.89622680993466,162.5112167246056,199.37308001310024,215.07965355478402,265.64399787338937,292.71174185505805,302.3649246382122,340.6932082168255,391.0006430866842,390.43825043963585,358.6871656918189,316.57690651546835,271.79898568067296
57,113.0806587240488,108.3104266486539,101.87655640465822,100.54359888161932,93.11373706902448,90.65921391666905,89.78297909938446,85.63275098559905,80.11984252297363,82.77898646263795,91.96544983263168,85.28292742749555,75.30863965233421,72.0890477597252,74.00221457572141,87.15117290062624,78.57083888678652,75.43167583666494,91.31945805616968,140.14951608423613,221.05895748951096,223.29701517109203,179.02511718909687,323.41340953810385,373.3793370944711,298.9708264278215,248.13249113643712,223.35636439501098,195.8908191967049,166.46398983700928
61,406.6318470348085,412.2876828493635,397.0946586818564,374.0592964489258,371.19010196749633,374.21078428068176,359.3516687998626,348.0030123612026,344.88695818255013,339.28991496475567,331.2427673981254,321.583436886546,308.6620366408248,296.4750070010954,291.8209769988838,305.18195715532454,331.8310076675832,347.9817115053372,367.1440643719064,409.2291367096008,494.84593941932053,630.5687611910082,792.88457106518,769.8726866270225,819.7704366355798,928.1435799445577,969.0675315985184,877.9282440334943,753.0797642648799,650.5996253604178
62,435.08211559503815,444.8670839861329,437.40947981272916,411.8311498092701,399.35917431461615,399.98325418934127,391.5284552563081,381.89963494515536,384.7652664728135,383.5495901958242,364.5038125020967,353.1355362925915,339.71228590334647,326.3373417228348,318.55534952158564,326.08958817499735,350.3184817526117,370.18333845633913,387.5330631084044,421.39665972602097,493.6373176062802,606.5790763911897,759.0700963107685,808.2643306195158,833.0776023548237,924.9572257500568,989.1508542564366,942.4337339042796,828.3755011396164,716.6453022993276
63,501.14527842905534,520.7200143123046,522.4433729224919,494.2733629163862,470.0177739437262,462.78913902494514,458.3637693079682,456.6362322872744,473.768654917128,482.93482492443695,446.203674593928,424.9176070503249,408.5444040629725,393.0236046181639,381.512540619151,382.8818363552391,403.839763025349,425.4022799845949,442.69505463006243,468.5442524541297,526.7460648619576,608.2259675865706,738.93670837274,848.8751838945218,895.2364260772639,962.728812624779,1036.2358875589894,1037.9238437229849,957.5405240239884,843.0967486009552
71,33.59470370370375,30.95856790123452,27.452061728395034,23.10329629629632,25.918444444444503,31.28760493827156,37.86509876543203,39.885160493827144,37.50123456790127,32.05437037037044,28.00444444444446,24.905135802469182,22.40646913580238,20.932827160493872,20.78050617283947,21.572629629629674,22.42956790123453,27.988666666666663,39.15082716049381,52.26360493827158,57.86282716049385,55.36240740740744,55.52986419753089,64.39914814814817,74.11069135802464,73.73802469135805,64.75733333333325,53.727925925925945,46.78493827160488,42.82998148148153
72,35.609923388065866,33.11679091069953,29.39092275020577,24.87101084526755,27.134956046913608,32.44834432674889,39.313234635390884,41.806991627572025,39.86512908024698,34.65116322016465,30.455210808642,27.150449389300427,24.657042298765397,23.565434636214036,23.93327245514404,24.91028853786008,25.773480797119323,30.93392711399177,41.799897204526744,54.86546209382711,60.87061127901229,59.0189647646091,59.399256176131715,68.0998915263375,77.73451309053496,77.57533195061731,68.74047094650196,57.47880624691359,49.925417576131636,45.595626158436296
73,44.55254060473249,41.10766223292172,36.29919340915656,30.867307736903534,32.80679716172831,38.52375303785988,46.834595447427894,50.03423239019563,48.72722366635826,43.66870649300407,39.27718386296301,35.39740765130645,33.065819566358144,33.750875070164696,36.54649077428001,38.538962685977204,39.45761147273661,44.268366266152285,55.39372543168726,68.75863231725292,74.40685579135774,73.03900953467088,75.00369415730458,85.32058768865247,94.85805413988692,92.90987354845687,82.42501441069943,69.72309255617283,60.80519939310695,55.72708349624517
74,361.4422391787568,363.56971564552964,338.14180399516584,303.5016711876685,277.36981270564206,263.54760074735043,281.4459156522888,316.78333386780184,301.90249755811766,279.62791864058397,272.7482441071354,272.3520401806002,271.0609529082253,271.34350837789805,277.77779155449167,314.72106840839666,358.9738790588838,334.0367827886039,296.9131610434832,317.7891604603188,442.3020749572538,494.9115095702739,434.5978207260478,407.4971570570221,447.02911789781166,455.91600890892255,415.9879279703213,375.639320028961,352.00466986117516,317.88891280667093
